date;executor;region;equipment;node;notes_on_the_operation_of_the_equipment;measures_taken;comments
01.01.2015;Юдаков А.;Резиносмешение;INTAKE;Silane and TOF \ Транспортировка cилана и масла TOF;Коррекция пректа. В FB51 NW 3  убран опрос датчика минимумма силана E55.3;;
18.10.2016;Котлярский С.;Резиносмешение;INTAKE;C.black silos transport/ Транспортировка сажи в силосы ;В RAIL HOPER контейнере остался старый код сажи. Невозможно начать загрузку нового типа сажи. На контейнере горит MIN Level. Надпись ПУСТОЙ.;Задали на разгрузочной станции такой же тип сажи, что и RAIL контейнере.Дорога не складывается.  В поле Разгрузочной станции выбрали другой шифр по штрих-коду. После этого сложилась старая дорога и появилась надпись ОСТАНОВИВШИЙСЯ.  Выкл. Штрихкод. Опять ввели на Разгрузочной станции одинаковые штрихкоды. После этого опять включили разрешение на штрихкод. После этого пошла ОЧИСТКА.;
09.03.2017;Котлярский С.;Резиносмешение;INTAKE;Oil tanks /    Емкости масла;Необходимо сделать, чтобы при открытии ручного клапана 434B1 внизу приемного танка не отключался насос циркуляции.;В блоке FB42 в NW 10 заремил ON M69.0;
24.07.2017;Котлярский С.;Резиносмешение;INTAKE;Silica transpor/ Транспортировка силики в расход. Бункеры;Во время транспортировки около разгрузчика (ROTARE FEEDER) появлется треугольник с восклицательным знаком и надпись давление.;Это связано с датчиком давления 921S1. Во время подачи воздуха датчик должен быть в 1.  Выкрутили датчик в минус, а кран воздуха приоткрыли.;
11.08.2017;Котлярский С.;Резиносмешение;INTAKE;C.black silos transport/ Транспортировка сажи в силосы ;Не стартует транспортировка. Код не выбирается не в ручную не через сканер. ;В окошке статуса пневмотранспорта(внизу на картинке) пустое поле. Не закончилась очистка после последней транспортировки. Останов цикла. Запуск очистки. После этого все запускается. ;
01.01.2015;Головин А.;Резиносмешение;INTAKE;C.black transport/ Транспортировка тех.углерода  в расход. бункеры;Не работает мышь на панели оператора через ATEN;При диагностике установлено, что при замене ATEN у оператора отключается все управление и монитор. При возвращении родного ATEN в серверной не работает только мышь. В диспетчере устройств драйвер PS/2 выдает ошибку Code 24. Пришлось открывать в реестр и вручную искать управление портами PS/2 (i8042prt). Нашел в разделе HKEY_LOCAL MACHINE -> Services -> i8042prt. В разделе Default установил значение по умолчанию 1.;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Aspiration/Аспирация;Ошибка по аспирации. Сработал датчик заполнения бункера, куда ссыпается сажа из фильтра;В ручном режиме ссыпали на весы и с весов в BicBag;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;На выгрузке стол поднимается вверх и транспортерная лента начинает двигаться без резины и останова ;В проекте VMI сбросили шаги и заново задали 1-ый шаг( при этом все чегото дергали и жали-поэтому осталось непонятным);
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Dosing C.black/ Дозирование тех.углерода;Не работает дозировка сажи- ошибка на приводе аспирации (кабинет +S1);Перезапустили частотник соответствующим пускателем (привод 752V1 - пускатель 752Q1(вверху слева);
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;"Ошибка по ""Main motor"", синяя кнопка (сброс аварии) горит постоянно на пульте- 2этаж Внизу (Ансальдо) не собирается PILZ.";На вальцах отжали кнопку на тросике безопасности;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Dosing C.black/ Дозирование тех.углерода;Проблемы с весами Carbon black;Проводили калибровку весов (гири по 20 кг)После калибровки провели весы функцией тест.Тест прошел с нулевыми значениями по дельта значок аварии не сбросился. Нажали кнопку подтверждение аварии и подержали, после чего авария сбросилась;
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;На разгрузке не работает захват подачи резины на конвейер;Поправили датчик 715В1-715В2 ( I 80.1 ) датчик на определение материала перед укладчиком- находится  вверху ;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Aspiration/ Аспирация;На аспирации значoк  вентилятора- красный;"Нажать  ""квадратные очки"", нажать подтверждение аварийного сигнала на пульте , через 5 сек в окне ""очков"" появится кнопка Reset,нажать ее. Ошибка должна сброситься.";
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;Машина не запускается. Актуальных ошибок (красных) нет . Но двигатель не запускается. В окне исходного состояния в красный цвет окрашен прямоугольник - вспомогательные цепи, Main motor- безопасность.;Перезапустили пусковые панели частотных преобразователей. Все заработало;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Computer;Магма зависает на выборе рецепа. После нажатия кнопки вставить крутится загрузка и все;Перегрузила компьютер. Все заработало.;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Dosing silica/ Дозирование силики;Нет навешивания весов. Актуальных ошибок на экране нет.;"Сбросила ошибки через кнопку подтверждение аварии на пульте оператора и задала старт дозировки из зкрана ""команды"". Навесились только сажа и масло, silica- навеска не пошла. На экране калибровки ошибка теста взвешивания.Проделала  тест взвешивания еще раз. Тест прошел благополучно. Silica навесилась.";
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;На выгрузке нет подъема прижимной планки      ( где укладчик), задняя от панели.  ;Выход Q85- сработал правильно. На клапане 760Y2 была откручена фишка. Прикрутили все заработало.;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;На выгрузке стол поднимается вверх и транспортерная лента начинает двигаться без резины и останова ;Заправили резину,цикл укладки прошел, поддон опустился и дальше работало правильно.;
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Computer;Не светится монитор  на 1 этаже;Был выключен компьютер в серверной (slave). Включили.;
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;"На выгрузке, в атоматическом режиме, стол с платформой начинает подниматься и останавливается не доходя до нужного положения. На экране панели выводится сообщение : "" проверьте датчик 811В4""";На самом деле был сбит датчик на цилиндре прижимной планки 760В6 (I80.6) Выставили правильно его положение и все заработало.;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Dosing silica/ Дозирование силики;Нет дозирования на весах СИЛИКИ, не проходит тестовое взвешивание.;Проверка и калибровка  весов силики( увеличили вес тестовой гири большего веса на 100 гр (75.100);
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;Останов главного привода во время работы. Не удается запустить главный привод.Ошибки на PLC. Нет питания на приводах. Нет входного напряжения 600 В. в шкафу на автоматах 1ЩР1/1 и 1ЩР1/2. Нет питания от ЦРП. ;После включения напряжения на ЦРП 1, главный привод был запущен;
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;Останов главного привода во время работы. Ошибка Fault Feeld Drive 2. Нет сигнала ZERO SPEED(FIELD OK) на модуле SPAM управления обмотками возбуждения двигателя. Сгорел предохранитель G2+S4 F51.2 (20 А) в цепи модуля SPAM. ; Замена предохранителя. Проверили модуль SPAM из ЗИПа. Запустиь не удалось. При включении сигнал ZERO SPEED кратковременно появляется и пропадает.;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;Не удается запустить главный двигатель после выключения и включения питания главным автоматом. Около изображения двигателя в МАГМЕ появились треугольники с восклицательными знаками. Нет напряжения на некотроых фазах на переключателе индикатора фаз на гл. шкафу. Выбивает автоматы охлажд. воздуха на двигатель.;Сгорел предохранитель 100А в главном переключателе. Замена предохранителя. Замечено плохое срабатывание дополнительного контактора рядом с гл. переключателем. Профилактика контактора.;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;"Нет выгрузки, на панели сообщение ""камера охлаждения заполнена"". До этого был козел.";В камере охлаждения освободили датчик (последний), вытягивали резину, пока не загорелся светодиод на датчике, затем пришлось сбросить метку в программе М95.0;
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;Останов главного привода во время работы. Ошибка Fault Feeld Drive 2. Нет сигнала ZERO SPEED(FIELD OK) на модуле SPAM управления обмотками возбуждения двигателя. Сгорел предохранитель G2+S4 F51.1 (20 А) в цепи модуля SPAM. ;Замена быстродействующего предохранителя на предохранитель обычного типа 25А.;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;Не работает конвейер подачи резины на 2-ой этаж. Сгорел привод Lenze 160U1. Сгорел модуль Profibus на приводе. ;Замена привода и модуля Profibus. Загрузка параметров.;Небыло индикации ни на самом приводе, ни на модуле. После установки нового модуля Profibus, необходимо поменять адрес ( заводская установка - адрес 3)
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;Не запускается линия. Горит авария на маленьком пульте. Ругается на датчик цилиндра взятия образца 580 B5.  Цилиндр находится  в нижнем положении.;Клапаном 580 Y2 принудительно подняли цилиндр вверх. Аварию сняли и линия готова к работе.;(на панели устройство взятия образца   обозначается как  ПУАНСОН).
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;На разгрузке не работает захват подачи резины на конвейер;Поправили датчик 715В1-715В2 ( I 80.1 ) датчик на определение материала перед укладчиком- находится  вверху (определяется  как инверсный);
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;"Невозможно запустить главный двигатель. Все на готовности, но при попытке запуска пропадает сигнал со SPAM ""Zero Field"" на обоих блоках.";Обнаружено, что somebody украл 2 энкодера с двигателей. Установка  энкодеров другого типа. ;Для этих энкодеров пришлось поменять на клемниках в шкафу провода(сигналы А В) местами.
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Computer; На мониторе на 2-м этаже отображается экран с которого нет выхода.;"По удаленному досступу , на PIVOR skm закрыл Workspace (""Магма"" перезагрузилась)";
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;Остановилась выгрузка резины на поддон, не сбрасывается защита аварийного реле .На панели  сообщение о проблеме безопасности (дверь и нож).;Нет сигнала  с контакта аварийного реле на ноже. Восстановили контакт реле.Выгрузка продолжилась;
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Hydraulic unit/ Гидравлика;Не опускается пресс (RAM).;С контроллера Telco сигнал на опускание приходит на Siemens S7 224. С S7 224 идет аналоговый сигнал           (-10V) на пропорциональный клапан упрвавления гидравликой. На TD200 на канале А давление 220 bar, а на канале B - 3 bar. После замены пропорционального клапана все работает. ;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Dosing oil/ Дозирование масла;Не работает вентилятор в шкафу дозировки масла;"На экране оператора по значку ""Ссылка HW"" была ошибка  ""нет обратной связи контактора"" Выбило автомат 407Q1  в шкафу +30 ( на 1м этаже). Включили, работает.";
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;"Не запускается главный двигатель. В Magme ""Ошибка поля двигатель 1"". На модуле SPAM пропадает Zero Field сразу после попытки пуска двигателя.";Обрыв провода в разъеме энкодера(перемычка между D - E).  ;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Computer;Не светится монитор  на 1 этаже.;Нет питания на модуле KVM REMOTE Монитора и на автомате 26F1 в шкафу +62. Выбило автомат 12Q1 в шкафу +60 в силовой (шкафы TSE+RD);"Одновременно с этим была ошибка обратной связи привода 60A1. Ссылка на автомат 62Q1. После включения монитора сбросил ошибки. В окошке ""ссылка HW"" задал восстановление. Ошибка снялась."
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;Не сбрасывается зона безопасности со стороны подачи поддонов;Поврежден столб SICK 801B1. Не собирается схема сброса защиты 787К1 (шкаф Ф-27). Принудительно включили реле 801К5, 801K6 подав сигнал с другого столба. Зону подачи поддонов закрыли решеткой.;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Computer;На 1м этаже с панели оператора не вводится пароль оператора , вместо имени абракадабра.;Перегрузили компьютер PIVORSKS;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;Не запускается главный привод.Ошибка Fault Feeld Drive1. и Fault Feeld Drive2;Перезапустили пусковые панели частотных преобразователей.( одновременное нажатие 3х кнопок) Все заработало;
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;Останов главного привода во время работы. Ошибка Fault Feeld Drive 2. Нет сигнала ZERO SPEED(FIELD OK) на модуле SPAM управления обмотками возбуждения двигателя. Сгорел предохранитель G2+S4 F51.2 (20 А) в цепи модуля SPAM. ;Замена предохранителя.;Быстродействующий предохранитель взяди со 2-ой машины. Вместо него на 2-ой машине поставили один обычный 25А
27.02.2014;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;Во время работы линии  остановка привода        № 1.Ошибка P.C. Пониженное напряжение линии;Прибавили напряжение на подстанции до 660 В в холостом режиме смесителя.;Во время работы смесителя напряжение просаживается до 580В. После повышения на подстанции напряжение во время работы не ниже 600 В.
04.05.2014;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;PLC;На станции 1103A2(ET200) мигает BF(весы проверочные силики не готовы, аспирация не работает, задвижки многих клапанов на экране не закр/не открыты( по диагонали)).;Замена коммуникационного процессора, замена коннектора, замена SIWAREX U, проверка напряжений… результата не дали. После загрузки HARDWARE все заработало. ;Было замечено, что если включить коммуникационный процессор без остальных модулей, то на нем не горит SF, хотя на других коммун. модулях при таки же действиях   SF сразу загорается и в hardware появл. указание на отсут модули. После перезагрузки HARDWARE пришлось вкл/выкл питание, иначе была ошибка на всех SINAMICS.
01.06.2014;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;"Не работает нож на укладчике. Лампочка Q85. ""Окончание цикла укладки"" горит, нож не двигается. Сгорел преобразователь LENZA 770U1. Модуль PROFIBUS остался целым.";Замена преобразователя. Загрузка параметров.;"Для справки: Лампочка ""Окончание цикла укладки"" гаснет  после отреза и опускания стола вниз."
26.07.2014;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Mixer/ Смеситель;Ошибка насоса консистентной смазки 37M1. Насос горит красным. Превышение цикла смазки 05E26.5.  Ошибка не сбрасывается.;При переводе в ручной режим и подтверждении аварийных сигналов кнопкой на пульте оператора ошибка не сбрасывается. Сигнал 05E26.5 нормально закрытый. Сняли провод с входного модуля. Ошибка сбросилась. Вернули провод. Несколько раз включили насос в ручном режиме. Сначала появлялась ошибка, но сбрасывалась с пульта. После второго запуска датчик сработал. Перевели в автомат. ;
01.08.2014;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;TSE+RD/ Экструдер+каландр; Каландр останавливается по ошибке нижего валка каландра. После сброса выходит на готовность, но после пуска снова ошибка. На блоке управления ошибка F07410. ;Вышел из строя частотный преобразователь SINAMICS S120 нижнего валка каландра 71A1. Для определения неисправности поменяли местами с правым двигателем экструдера. Заменен на новый 2.08.2014;Пробвали поменять плату питания с неисправного преобразователя. Результата нет. Вероятнее всего неисправность в силовой части. 
03.08.2014;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;Сильное искрение щеток одного из двигателей. Сильный износ щеток.;Замена всех щеток двигателя. ;
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;При смене полетов на конвейре новый палет останавливается при подъеме. Ошибка положения палета с резиной.;Провисла лента с маятника разрузчика и перекрывает датчик верхнего положения палета с резиной.;Подтянута лента на разгрузчике. Палеты движутся нормально.
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Mixer/ Смеситель;"НЕ запускается смеситель в автоматическом режиме те.к. на ФИЛЬТРЕ основания смесителя был значек ""max""";Очистка фильтра в ручном режиме результата не дала, был загрязнен датчик.;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Aspiration/ Аспирация;Не происходит встряхивание фильтров аспирации основания смесителя BY11. ;В настройках встряхивателя Donaldson Delta P Plus изменили параметры Hi и Lo - высокий и низкий приделы соответственно. Hi изменили с 2.5 на 1.5, а Lo c 1.2 на 0.5;После замены фильтров разниа давлений была очень маленькая,- что не позволяло перейти встряхивателю в режим cleaning 
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;"Привод на готовности. При пуске двигатель запускается. Секунд через 5-10 выбивает привод. Ошибка с привода приходит в контроллер: E14.3 – двигатель 2 заблокирован. (для первого двигателя E10.3, но на контроллере успеваем увидеть только ошибку со 2-го двигателя).  После пуска ток растет с 2000 А до 5200 А. Возможно, что 2-ой двигатель просто раньше выбивает, чем первый.  При пуске двигатель проворачивается на четверть оборота. После останова его отталкивает назад. Видно, что ротор в месте соединения со шнеками смесителя  также делает совсем небольшой поворот.  

В муфте нарушилось соединение, Шнеки внутри смесителя сместились относительно друг-друга.";"Привод на готовности. При пуске двигатель запускается. Секунд через 5-10 выбивает привод. Ошибка с привода приходит в контроллер: E14.3 – двигатель 2 заблокирован. (для первого двигателя E10.3, но на контроллере успеваем увидеть только ошибку со 2-го двигателя).  После пуска ток растет с 2000 А до 5200 А. Возможно, что 2-ой двигатель просто раньше выбивает, чем первый.  При пуске двигатель проворачивается на четверть оборота. После останова его отталкивает назад. Видно, что ротор в месте соединения со шнеками смесителя  также делает совсем небольшой поворот.  
механики обнаружили, что отошла муфта между шнеком смесителя и ротором двигателя на одном из двигателей( часть болтов раскрутилась, остальные  срезало).
Механики устраняли неисправность.";
12.12.2014;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;Не работает столб безопасности на выходе поддонов. Горит красный фонарь, на индикаторе ошибка E4. На модуле мутинга(желтый модуль слева от столба)  мигает желтый светодиод.;Через ноутбук диагностика показывает:  сообщение на столбе - External error(внешняя ошибка), модуль мутинга показывает Internal error(внутренняя ошибка). Вкл/выкл модуля мутинга и столба результата не дает. Замена модуля мутинга. Все работает. Желтый светодиод на модуле мутинга горит постоянно.;Чтобы можно было работать, электрики поставили блокировку - запитали выходные реле столба. После замены модуля мутинга, вкл/выкл питания  сначала появилась ошибка F6 - overcurrent switch inoutput 2 (перегрузка по выходу 2). После удаления блокировки и вкл/выкл питания столб заработал. 
01.01.2015;Юдаков А.;Резиносмешение;Mix 1.1 BY11 GK320;Temp. Station/ Темпер. Станция;При запуске смесителя темперирующие станции включились с ошибками. Станция на нижний затвор и корпус на регуляторах заданное значение не соответсвует реальнго заданному из контроллера. ;Пробывали откалибровать по входному задающему значению. Это привело к тому что заданное значение становится правильно передается на регулятор, а значение отображаемое на мониторе в магме увеличиваетчя в 2 раза. На станцию для нижнего затвора установили новый регулятор jumo использовали входной токовывй сигнал.(на остальных по входу задающего значения установлен резистор) Для станции на корпус был подобрак корректирующий коэффициент в программе контроллера (с -360 на -4000) FB 36 NE4;
01.01.2015;Юдаков А.;Резиносмешение;Mix 1.1 BY11 GK320;Mixer/ Смеситель;Не поднимается плунжер. ;Заменили клапан на линии поднятия плунжера, поднялся.;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;Нож не рубит резину;Заменили частотный преобразователь - силовую часть и модуль profibus (на силовом модуле не было индикации. на модуле profibus индикация была - зеленый светодиод мигал,но  модуль оказался неисправным после замены светодиод горел постоянно). После замены все работает.;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;На одну палетту укладываются разные смеси, маятник не останавливается при отсутствии резины.;"Заменили датчик 715В2, для исключения дребизга сигнала I 80.1 сделали изменения в программе: добавили  в  FC290  NW111 - метку М600.0 и таймер Т100, в FC6 NW7  и FC82 NW24 - заменили I80.1 на M600.0.(все изменения в проекте ""16035_sensor_coment"")";
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;;" Заменили датчик. (см. пункт выше)    Заменила проект на исходный              ""16035_coment""";
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;Клапан заполнения емкости изолирующего раствора.;"Проект ""16035_03_03_2015_TANK"". В FC24 внесли изменения по включению клапана Q10.2 ";
14.03.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;"Не запускается главный двигатель, При нажатии ""Контакты Закрытие"" появляется Готовность к пуску двигателей, через 3-5 сек двигатели  на картинке становятся красными, появляется восклицательный знак около двигателей и  надпись Предупреждение. Выбивает автомат двигателя охлаждения. Нет контакта одной ";Замена автомата. Не помогло. Определили, что  нет контакта одной фазы в клемнике двигателя на машине. Чистка контактов, затяжка. Машина работает;Восклицательный знак около двигателей может появлятся также если нет одной из входных фаз(сгорание предохранителя 100 А) См. описание предыдущих неисправностей.
01.01.2015;Юдаков А.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;Не запускается главный двигатель. При нажатии на закрытие контактов готовность не появляется, двигатели загораются красным цветом.;Сгорел предохранитель F51.1. После замены сгорел снова. Короткое замыкание на клемнике в низу на проводах обмоток возбуждения. (клемник и изоляция проводов поплавилась). Заменили предохранитель и  клемник.;
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Dosing silan/ Дозирование силана; В ночную смену не было подачи силана;Провели проверку работы оборудования, обнаружили нестабильную работу клапана подачи силана в смеситель В13Y1(А121.3). Почистили и отревизировали клапан. Задали рецерт с силаном для проверки. Набор  не начался, оказалось на весах  8.6кг в задании для поршневого дозатора 3.666кг, для старта дозирования необходимо заполнение весов приблизительно до 18 кг и  клапан 602Y1(над весами) должен быть закрыт.;"Тест взвешивания можно провести на остановленном смесителе(включить блокировку). В ""Магме"" нижнее меню кнопка ""команды"" ,в открывшемся окне  кнопка ""Контр. Взвешивания"", затем задать количество навесок  ( 1 )  и вес( 3.0 кг) , старт в автомате."
01.01.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff;Стол в автом. режиме и в ручном  поднимается на небольшую  высоту (10-15 см) и останавливается.;Замечено, что лопатки(прижимные планки) с обеих сторон подняты вверх и при движении маятника не опускаются.   Включению выхода  Q86.2(FLAP DOWN) мешает метка М72.6 (WIG_WAG DOWN). На пульте оператора  тумблер Маятник (I85.6) повернут в положение ВНИЗ. Должен быть в положении ВВЕРХ.  ;"Режим ""Маятник вниз"" предназначен для выпуска сверх жестких резин. При этом лопатки все время подняты вверх, стол почти не поднимается. Маятник работает."
01.01.2015;Юдаков А.;Резиносмешение;Mix 1.1 BY11 GK320;Temp. Station/ Темпер. Станция;резкое повышение температур на верхнем валке. Регулятор темперирующей станции работает исправно, значения адекватны температуре. ;Сняли клапан в темперирующей станции на линии подвода охлаждающей воды. Температура снизилась. Управление стало возможным только в ручном режиме ручным винтелем. ;
17.06.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;Не запускается главный двигатель. При нажатии в МАГМЕ ЗАКРЫТИЕ, ВОССТАНОВЛЕНИЕ СИГНАЛОВ двигатели ненадолго становятся белыми, потом красными появл. ошибка FAN DRIVE 1, FAN DRIVE 2. ;Двигатели обесточены. При задании команд в Магме, вкл. какие-то контакты, но двигатели по-прежнему обесточены. Проверка фаз (прибор на двери) показывает отсутствие одной фазы. Сгорел предохранитель 100 А(крайний слева). Замена предохранителя. После вкл( главн. выкл.)  двигатели сразу запитаны.;
22.06.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Main Motor/ Главный двигатель;Периодические остановы главного двигателя. Ошибки Air cooling fan drive 1, Profibus feedback lost, Fault Field Drive 1, Fault Field Drive 2,;Двигатель останавливается по ошибке превышения температуры воздуха охлаждения главного двигателя. Сигнал приходит с датчика(реле) на вход E 8.3 контроллера (главн. двигат. ANSALDO).Чистка фильтров, замена датчика. Через некоторое время та же ошибка на двигателе 2. Помогла чистка фильтра.;Датчик находится в модуле охлаждения (зеленый ящик расположен над двигателем) под крышкой. Площадка около смесителя. Фильтр невозможно вытащить полностью, мешают трубы с охл. водой. Чистка фильтра затруднена.  
01.01.2015;Золотарева Н.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка; Загрузила проект 16035_23_04_2015_TANK;"убрала  тумблер ""маятник вниз"", изолирующий подается в ручном режиме";
25.06.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;Резина плохо укладывается на поддон.Укладчик работает со сбоями. Периодически образуются короткие петли, из-за этого  укладка резины сбивается.;Из-за тонкой резины датчик 715В1-715В2/I 80.1          ( наличие материала перед укладчиком- находится  вверху) перестает видеть резину и останавливает укладчик. Опустили датчик чуть ниже. ;
25.06.2015;Котлярский С.;Резиносмешение;Mix 1.1 BY11 GK320;Batchoff/ Выгрузка;Не работает лента укладчика;Сгоред преобразователь LENZE и модуль Profibus. Замена преобразователя и модуля. Загрузка параметров.(740U1);
